farm,year,mgmt,var,FRF Graze,FRF Hay,ORG Graze,ORG Hay,WNF Graze,WNF Hay
1,2016,1,finco,"154.02 (33.23, 370.43)","155.55 (47.14, 398.29)","97.43 (13.48, 225.34)","103.43 (15.83, 234.49)","203.59 (31.34, 541.4)","200.22 (44.49, 496.91)"
1,2016,1,moist,"19.38 (6.12, 34.26)","20.88 (8.52, 32.32)","11.42 (0.51, 28.73)","9.37 (0.4, 26.4)","18.4 (5.82, 42.97)","25.44 (10.83, 45.41)"
1,2016,1,posno,"0.04 (0, 0.15)","0.05 (0, 0.13)","0.09 (0, 0.26)","0.13 (0, 0.76)","0.07 (0, 0.28)","0.07 (0, 0.28)"
1,2016,1,t_10cm,"19.3 (9.64, 26.6)","18.66 (8.36, 24.54)","19.55 (12.3, 24.2)","20.32 (12.18, 25.05)","17.14 (10.56, 21.7)","17.35 (11.25, 22.09)"
1,2016,1,t_5cm,"21.16 (11.64, 29.4)","19.95 (9.77, 28.8)","20.77 (13, 26.2)","21.58 (12.69, 28.15)","18.03 (10.8, 23.69)","18.43 (11, 23.1)"
1,2017,1,finco,"218.5 (72.95, 457.42)","205.24 (57.97, 527.36)","114.35 (16.88, 338.96)","158.11 (33.62, 459.33)","150.29 (38.93, 338.91)","176.71 (48.8, 405.83)"
1,2017,1,moist,"33.05 (21.47, 44.57)","30.36 (21.17, 39.73)","20.32 (5.53, 45.76)","13.15 (1.99, 32.15)","19.86 (3.56, 46.58)","25.64 (2.83, 50.26)"
1,2017,1,posno,"0.07 (0.01, 0.2)","0.04 (0, 0.09)","0.08 (0, 0.29)","0.06 (0.01, 0.22)","0.11 (0.01, 0.57)","0.06 (0, 0.25)"
1,2017,1,t_10cm,"19.48 (12.5, 24.94)","19.73 (14.07, 25.72)","18.43 (12.73, 22)","19.23 (13.24, 25.05)","17.27 (11.78, 21.12)","17.34 (11.8, 21.52)"
1,2017,1,t_5cm,"21.09 (13.14, 27.44)","21.53 (14.5, 29.72)","19.12 (12.83, 25.06)","19.99 (13.26, 26.44)","18.77 (11.88, 23.27)","18.49 (12.19, 23.42)"
